pin,property_a,house,street_dir,street_nam,street_typ,apartment,prop_city,prop_zip,land_value,improvemen,total_valu,class,school_dis,numbldgs,bldg_numb,bldg_sf,bldg_story,bldg_yrblt,bldg_desc,quality,condition,acres,sq_feet,centroid_latitude,centroid_longitude,source_county
1737380000,3801 MONROE ST,3801, ,MONROE,ST, ,OMAHA,68107,12500.0,166000.0,178500.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1008.0,1.5,1920.0,1 1/2 Story Fin,Average,Good,0.15,6800.0,41.19340797136238,-95.97047077901532,douglas
1741030000,4215 S 12 ST,4215,S,12,ST, ,OMAHA,68107,14100.0,103000.0,117100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1408.0,1.5,1910.0,1 1/2 Story Fin,Average,Fair,0.11,4950.0,41.218047753004804,-95.93194548209745,douglas
1741690002,5521 FLORENCE BD,5521, ,FLORENCE,BD, ,OMAHA,68110,15100.0,206600.0,221700.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,2130.0,2.5,1912.0,2 1/2 Story Unfin,Average,Average,0.18,8250.0,41.3091737571091,-95.94439574571,douglas
1742830000,3324 N 55 ST,3324,N,55,ST, ,OMAHA,68104,20200.0,124400.0,144600.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1189.0,1.5,1911.0,1 1/2 Story Fin,Average,Average,0.08,3780.0,41.289495386676286,-95.99893008148396,douglas
1745261354,6505 WINSLOW PL,6505, ,WINSLOW,PL, ,OMAHA,68137,29200.0,301900.0,331100.0,R,MILLARD PUBLIC SCHOOL DISTRICT,1.0,1,1885.0,1.0,1969.0,Raised Ranch,Average,Average,0.27,11880.0,41.1933018669216,-96.11752646717095,douglas
1748490000,6912 N 24 ST,6912,N,24,ST, ,OMAHA,68112,14100.0,91000.0,105100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1104.0,1.5,1920.0,1 1/2 Story Unfin,Average,Fair,0.12,5520.0,41.321838914895615,-95.94726165057651,douglas
1749270000,6720 N 24 ST,6720,N,24,ST, ,OMAHA,68112,14200.0,195800.0,210000.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1774.0,1.5,1921.0,1 1/2 Story Fin,Average,Good,0.14,6120.0,41.3197681575496,-95.94726861919224,douglas
1749410000,2450 NEWPORT AV,2450, ,NEWPORT,AV, ,OMAHA,68112,14000.0,118100.0,132100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1229.0,1.5,1922.0,1 1/2 Story Fin,Average,Average,0.12,5280.0,41.319355446964344,-95.94900649941779,douglas
1749850000,2418 REDICK AV,2418, ,REDICK,AV, ,OMAHA,68112,14000.0,100900.0,114900.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1508.0,2.0,1924.0,2 Story,Average,Fair,0.12,5280.0,41.31782538590349,-95.9477137226938,douglas
1751770000,7103 MINNE LUSA BD,7103, ,MINNE LUSA,BD, ,OMAHA,68112,13600.0,157800.0,171400.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1370.0,2.5,1928.0,2 1/2 Story Unfin,Average,Very Good,0.09,4141.0,41.32313393311577,-95.95111129941797,douglas
1752180000,6870 MINNE LUSA BD,6870, ,MINNE LUSA,BD, ,OMAHA,68112,14200.0,165700.0,179900.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1812.0,1.5,1925.0,1 1/2 Story Fin,Average,Average,0.13,5967.0,41.321322118108526,-95.95243544795711,douglas
1753790000,2890 BAUMAN AV,2890, ,BAUMAN,AV, ,OMAHA,68112,14000.0,144800.0,158800.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,2364.0,2.0,1923.0,2 Story,Average,Fair,0.12,5280.0,41.31860108908112,-95.9563530816975,douglas
1756410000,4532 S 15 ST,4532,S,15,ST, ,OMAHA,68107,14500.0,115300.0,129800.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,988.0,1.5,1900.0,1 1/2 Story Fin,Average,Average,0.11,5200.0,41.213566738088296,-95.93603691289555,douglas
1800100510,5033 S 90 ST,5033,S,90,ST, ,OMAHA,68127,22200.0,225500.0,247700.0,R,RALSTON PUBLIC SCHOOL DISTRICT,1.0,1,1196.0,1.0,1969.0,Ranch,Average,Average,0.17,7620.0,41.20638592364334,-96.05207600534864,douglas
1800100840,8534 LAKEVIEW DR,8534, ,LAKEVIEW,DR, ,OMAHA,68127,22200.0,211300.0,233500.0,R,RALSTON PUBLIC SCHOOL DISTRICT,1.0,1,1122.0,1.0,1965.0,Split Entry,Average,Average,0.17,7800.0,41.20967818511354,-96.04639274965521,douglas
1800102606,9472 WEIR ST,9472, ,WEIR,ST, ,OMAHA,68127,22500.0,248300.0,270800.0,R,RALSTON PUBLIC SCHOOL DISTRICT,1.0,1,1546.0,1.5,1968.0,Tri Level,Average,Good,0.19,8580.0,41.206144422271564,-96.05955306482092,douglas
1800107129,5099 S 107 ST,5099,S,107,ST, ,OMAHA,68127,0.0,0.0,0.0,E,RALSTON PUBLIC SCHOOL DISTRICT,1.0,1,1047.0,1.0,1973.0,Split Entry,Average,Average,0.20149352,8777.05782424,41.205572974132444,-96.07851328862726,douglas
1801080000,3472 LARIMORE AV,3472, ,LARIMORE,AV, ,OMAHA,68111,9300.0,82300.0,91600.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,792.0,1.5,1895.0,1 1/2 Story Unfin,Average,Average,0.14,6144.0,41.30251712479513,-95.96491572451586,douglas
