licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
"NASTASE CONTRACTING, INC.",douglas,2,20500.0,22503.009169958634,17229.935,7338.40525,50501.674999999974,2025-12-22,2026-02-16
SCRIBNER ENTERPRISES INC.,douglas,2,18786.78,13074.826015236456,11284.8775,4672.05,20291.156499999997,2025-11-13,2026-03-21
ERNCO INC,douglas,2,17160.0,17140.191526202107,13260.34,7349.35925,24427.995,2026-03-12,2026-03-12
QUICK ROOFING,douglas,2,16613.934999999998,12745.604776879225,11532.25,6658.0905,18140.6285,2025-11-21,2026-03-06
"LIGHTNING EXTERIORS, LLC",douglas,2,16190.5,14289.046885843407,10067.5,6544.666,23301.27499999999,2025-11-12,2025-11-18
H&H EXTERIORS LLC,douglas,2,15000.0,15790.43294298038,12088.5,6268.85175,50283.424999999974,2026-01-08,2026-04-01
PAPIO ROOFING,douglas,2,15000.0,14321.969348961939,15021.0,6750.231,27367.155,2026-01-13,2026-02-16
"MLKHEC INC DBA HUSKER HAMMER SIDING, WINDOWS AND ROOFING",douglas,2,14350.0,14814.278320380028,17477.25,8549.168,54674.99999999997,2025-11-25,2025-12-05
"COMPLETE VENTURES, INC",douglas,2,13750.0,11529.619002226083,12138.0,4169.0,23212.420499999997,2026-03-17,2026-03-31
CHAMP ROOFING AND EXTERIORS INC,douglas,2,13566.32,11824.07187006504,8950.0,4105.65,21420.34999999999,2026-01-29,2026-04-10
SUPERIOR CONTRACTORS LLC,douglas,2,12935.09,11568.915376567045,11126.779999999999,4583.78325,18403.207,2025-11-10,2026-03-25
BOSA RESTORATION,douglas,2,12000.0,9540.097924405942,7848.827499999999,2525.0,16454.137749999994,2025-11-14,2026-02-16
"PRO GRADE EXTERIORS, LLC",douglas,2,11832.41,8169.754320026585,7039.75,2974.725,13842.624999999998,2025-12-26,2026-02-02
FLIPPING LEGACY LLC,douglas,2,11500.0,9034.785759267785,9308.49,3112.5,20058.199999999997,2026-02-17,2026-03-12
JIM'S ROOFING & CONTRACTING,douglas,2,10650.0,11715.273637242934,14414.52,8392.15475,27731.5,2025-11-05,2025-12-05
ALL STAR EXTERIORS LLC,douglas,2,9500.0,8316.578625899423,9757.6425,2671.125,18071.50325,2025-11-11,2026-03-27
JENSEN ENTERPRISES,douglas,2,9500.0,10540.35892557693,12461.75,6454.818499999999,20716.052249999997,2025-11-10,2025-11-11
OPTIMUS ROOFING AND GUTTERS LLC,douglas,2,9250.0,8513.012097479672,8160.0,2953.6775,20992.199999999993,2025-11-03,2025-11-25
"GRANDEL'S CONSTRUCTION & ROOFING, INC",douglas,2,8800.0,9570.579792137247,11266.442500000001,3550.0,33155.36624999998,2026-01-12,2026-04-13
RAMOS ROOFING,douglas,2,8150.0,10709.478445027129,12500.0,7359.66,17811.249999999996,2026-03-02,2026-04-03
ADONAI CONTRACTORS LLC,douglas,2,8050.0,8107.892123730059,6939.5,1800.0,18094.762499999997,2026-03-24,2026-03-24
UNITED SERVICES OF AMERICA,douglas,2,7600.0,9274.912688290935,11658.25,6576.82425,17877.00075,2025-11-06,2026-03-26
H&H ROOFING,douglas,2,7000.0,8313.94162252596,10329.905,2760.7315,17699.06125,2026-03-19,2026-03-26
VELAS CONSTRUCTION,douglas,2,6600.0,5542.468766413645,9312.5,1600.0,16974.999999999996,2026-03-17,2026-04-10
CITY PLANNING,douglas,2,6500.0,5394.272563769788,6212.5,869.4075,11485.125,2026-01-07,2026-04-03
JOHNSON WINDOW INSTALLATIONS,douglas,2,6450.0,7530.648846307522,8781.7475,4813.445,17205.379249999998,2025-11-05,2026-02-13
LASTIME ROOFING,douglas,2,6100.0,6254.705564874237,9087.5,3194.0,23781.55149999999,2026-03-13,2026-04-03
JBM CONTRACTOR LLC,douglas,2,5800.0,6944.971869207997,12889.56,6297.81425,22604.51775,2026-02-24,2026-03-24
NEW ENERGY LLC,douglas,2,5750.0,8435.625578366376,10891.33,4556.0895,19954.799999999996,2025-11-05,2026-03-18
A1 Roofing pros,douglas,2,5500.0,6427.897597348902,8371.525,2843.5275,26995.70149999999,2025-12-15,2025-12-15
"CHANDLER & CHANDLER CONSTRUCTION, LLC",douglas,2,5500.0,6485.002573705618,9059.3125,4742.07725,27750.299999999992,2025-11-06,2026-04-13
PEAKNEST PROPERTIES LLC,douglas,2,5500.0,5417.837653148157,6161.4625,1696.4962500000004,20084.10224999999,2026-03-22,2026-03-22
MEJIA ROOFING & CONTRACTORS,douglas,2,5070.0,8426.525207284341,10860.25,7395.2375,39364.74299999998,2026-01-07,2026-02-25
MG FERN PROPERTIES LLC,douglas,2,5000.0,6209.865625393237,9862.967499999999,4334.20225,22038.548249999993,2025-11-20,2025-11-25
FIRST-RATE CONSTRUCTION LLC,douglas,2,4500.0,5101.72852690244,5501.515,1600.0,16254.100249999996,2025-11-04,2026-03-30
Weddle and Sons Roofing,douglas,2,4362.5,7338.803108231394,9810.815,5246.919,15837.478749999998,2026-02-18,2026-02-18
THOMPSON ROOFING,douglas,2,4200.0,6316.065300550229,6215.75,1455.0,14065.527499999998,2026-03-03,2026-03-10
